Name,Formula,Dielectric constant(εrel),nD
(+)-a-pinene,C10H16,2.64,1.4663
"(1S,4S,5R)-1-isopropyl-4-methylbicyclo[3.1.0]hexan-3-one",C10H16O,10.8,1.4522
"(1S,5S)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",C10H16,2.76,1.4653
"(1Z,5Z)-cycloocta-1,5-diene",C8H12,2.38,1.493
"(2E,4E)-2,4-hexadiene",C6H10,2.22,1.4559
"(2S,5R)-2-isopropyl-5-methylcyclohexanone",C10H18O,8.8,1.4505
(5R)-2-isopropylidene-5-methylcyclohexanone,C10H16O,9.5,1.4871
(dichloromethyl)benzene,C7H6Cl2,6.9,1.55
"(E)-1,3-pentadiene",C5H8,2.32,1.4301
(E)-2-butenenitrile,C4H5N,28.1,1.4161
(E)-3-hexene,C6H12,2,1.3943
(E)-3-phenyl-2-propenal,C9H8O,16.9,1.6195
(E)-4-octene,C8H16,2,1.411
"(Z)-1,2-dibromoethene",C2H2Br2,7.7,1.5428
(Z)-3-hexene,C6H12,2.06,1.3939
(Z)-4-octene,C8H16,2.05,1.4111
(Z)-benzaldoxime,C7H7NO,3.8,1.5956
(Z)-octadec-9-enoic acid,C18H34O2,2.46,1.463
"1,1,1-trichloroacetone",C3H3Cl3O,10.37,1.462
"1,1,1-trichloroethane",C2H3Cl3,7.25,1.438
"1,1,1-trichlorotrifluoroethane",C2Cl3F3,2.44,1.36
"1,1,2,2-tetrabromoethane",C2H2Br4,7,1.628
"1,1,2,2-tetrachloroethane",C2H2Cl4,8.42,1.495
"1,1,2-trichloro-1,2,2-trifluoroethane",C2Cl3F3,2.41,1.3557
"1,1,2-trichloroethane",C2H3Cl3,7.28,1.471
"1,1,3,3-tetraethylurea",C9H20N2O,14.74,1.446
"1,1,3,3-tetramethylguanidine",C5H13N3,23.1,1.468
"1,1-dichloro-1-nitroethane",C2H3Cl2NO2,16.3,1.441
"1,1-dichloroethane",C2H4Cl2,10,1.416
"1,1-dichloroethene",C2H2Cl2,4.67,1.425
"1,1-diethoxyethane",C6H14O2,3.8,1.381
"1,1-diethoxymethane",C5H12O2,2.53,1.373
"1,1-dimethoxyethane",C4H10O2,3.49,1.366
"1,10-dibromodecane",C10H20Br2,6.56,1.493
"1,10-dichlorodecane",C10H20Cl2,7.07,1.46
"1,2,3,4-tetrachlorobenzene",C6H2Cl4,3.2,1.58
"1,2,3,4-tetramethylbenzene",C10H14,2.59,1.515
"1,2,3-propanetriol",C3H8O3,47,1.4746
"1,2,3-propanetriol trinitrate",C3H5N3O9,19.3,1.4573
"1,2,3-propanetriyl tri-(Z)-9-octadecenoate",C57H101O6,3.8,1.468
"1,2,3-tribromopropane",C3H5Br3,6.45,1.582
"1,2,3-trichloropropane",C3H5Cl3,7.9,1.486
"1,2,3-trimethylbenzene",C9H12,2.66,1.5134
"1,2,4-trichlorobenzene",C6H3Cl3,2.24,1.5717
"1,2,4-trimethylbenzene",C9H12,2.42,1.5067
"1,2-diaminoethane",C2H8N2,14.2,1.4568
